TABLE 0/3: 0< N_{particle} <20
AbsEtaLow,AbsEtaHigh,Value,Error,RelativeError
0, 0.2, 0.0267579, 0.000260781, 0.00974594
0.2, 0.4, 0.0329251, 0.000306051, 0.00929537
0.4, 0.6, 0.0410199, 0.000372807, 0.00908844
0.6, 0.8, 0.0548638, 0.00048228, 0.00879051
0.8, 1, 0.0769192, 0.000656128, 0.00853009
1, 1.2, 0.109126, 0.000907725, 0.00831815
1.2, 1.4, 0.164784, 0.00132652, 0.00805005
1.4, 1.6, 0.25632, 0.00204207, 0.00796687
1.6, 1.8, 0.409115, 0.0032483, 0.00793982
1.8, 2, 0.634955, 0.00519359, 0.00817946
2, 2.2, 0.97381, 0.00842821, 0.00865487
2.2, 2.4, 1.55066, 0.0147599, 0.00951846
2.4, 2.6, 2.44456, 0.0261907, 0.0107139
2.6, 2.8, 3.75898, 0.045892, 0.0122086
2.8, 3, 5.8094, 0.0830706, 0.0142993
3, 3.2, 9.02326, 0.154743, 0.0171494
3.2, 3.4, 13.0102, 0.265797, 0.0204299
3.4, 3.6, 18.3912, 0.454694, 0.0247235
3.6, 3.8, 25.1529, 0.765359, 0.0304283
3.8, 4, 28.0471, 0.973857, 0.0347222
4, 4.5, 37.3048, 1.15027, 0.0308344
4.5, 5, 45.0815, 2.23199, 0.0495101
5, 5.5, 41.6312, 3.08899, 0.0741989
5.5, 6, 45.5787, 5.7595, 0.126364
6, 10, 41.4877, 6.40261, 0.154326
TABLE 1/3: 20< N_{particle} <30
AbsEtaLow,AbsEtaHigh,Value,Error,RelativeError
0, 0.2, 0.0377096, 0.000110592, 0.00293273
0.2, 0.4, 0.0468057, 0.000129731, 0.00277168
0.4, 0.6, 0.0598503, 0.0001606, 0.00268336
0.6, 0.8, 0.0806641, 0.000209993, 0.0026033
0.8, 1, 0.114186, 0.000288672, 0.0025281
1, 1.2, 0.168124, 0.000415065, 0.0024688
1.2, 1.4, 0.257249, 0.000625372, 0.002431
1.4, 1.6, 0.398911, 0.000965844, 0.0024212
1.6, 1.8, 0.62329, 0.00154392, 0.00247705
1.8, 2, 0.98228, 0.00256711, 0.00261342
2, 2.2, 1.54953, 0.00442076, 0.00285297
2.2, 2.4, 2.37989, 0.00761449, 0.00319951
2.4, 2.6, 3.61492, 0.0133056, 0.00368074
2.6, 2.8, 5.34369, 0.0230616, 0.00431566
2.8, 3, 7.53777, 0.0385703, 0.00511694
3, 3.2, 10.3437, 0.0635835, 0.00614706
3.2, 3.4, 13.4868, 0.100118, 0.0074234
3.4, 3.6, 16.8989, 0.152288, 0.0090117
3.6, 3.8, 19.7411, 0.213925, 0.0108365
3.8, 4, 22.708, 0.299736, 0.0131996
4, 4.5, 26.4015, 0.307769, 0.0116573
4.5, 5, 29.8412, 0.568853, 0.0190627
5, 5.5, 32.6262, 1.04171, 0.0319287
5.5, 6, 32.3282, 1.69054, 0.052293
6, 10, 31.8822, 2.15855, 0.067704
TABLE 2/3: 30< N_{particle} <200
AbsEtaLow,AbsEtaHigh,Value,Error,RelativeError
0, 0.2, 0.0596233, 0.000126494, 0.00212155
0.2, 0.4, 0.0780676, 0.000150943, 0.00193349
0.4, 0.6, 0.101856, 0.000186712, 0.0018331
0.6, 0.8, 0.139732, 0.000246907, 0.00176701
0.8, 1, 0.195527, 0.000339255, 0.00173508
1, 1.2, 0.282209, 0.000487805, 0.00172853
1.2, 1.4, 0.413498, 0.000727768, 0.00176003
1.4, 1.6, 0.61302, 0.0011261, 0.00183698
1.6, 1.8, 0.89626, 0.00175497, 0.0019581
1.8, 2, 1.30383, 0.0027967, 0.00214498
2, 2.2, 1.87808, 0.00454299, 0.00241895
2.2, 2.4, 2.6446, 0.00734581, 0.00277766
2.4, 2.6, 3.62765, 0.0117815, 0.0032477
2.6, 2.8, 4.77482, 0.018306, 0.00383385
2.8, 3, 6.09513, 0.028001, 0.00459399
3, 3.2, 7.46641, 0.0412858, 0.00552954
3.2, 3.4, 8.77641, 0.0586429, 0.00668188
3.4, 3.6, 9.97571, 0.0806983, 0.00808949
3.6, 3.8, 11.0653, 0.109291, 0.00987689
3.8, 4, 11.9884, 0.144335, 0.0120395
4, 4.5, 12.7231, 0.133652, 0.0105046
4.5, 5, 13.4055, 0.230302, 0.0171796
5, 5.5, 13.14, 0.366271, 0.0278745
5.5, 6, 14.3982, 0.68247, 0.0473998
6, 10, 13.3436, 0.810992, 0.0607778
